Dataset,Graph#,dirname,Filename,Class,Order,Genus,Species,Taxa,interaction_type,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,Citation
,37,ants_proximity_weighted,N37_ant_mersch_col1_day38.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,38,ants_proximity_weighted,N38_ant_mersch_col1_day39.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,39,ants_proximity_weighted,N39_ant_mersch_col1_day40.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,40,ants_proximity_weighted,N40_ant_mersch_col1_day41.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,41,ants_proximity_weighted,N41_ant_mersch_col2_day01.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,42,ants_proximity_weighted,N42_ant_mersch_col2_day02.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,43,ants_proximity_weighted,N43_ant_mersch_col2_day03.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,44,ants_proximity_weighted,N44_ant_mersch_col2_day04.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,45,ants_proximity_weighted,N45_ant_mersch_col2_day05.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,46,ants_proximity_weighted,N46_ant_mersch_col2_day06.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
